,season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
2189,1996,nba mvp,Michael Jordan,32,CHI,109.0,1114.0,1130.0,0.986,True,14913,2193
2206,1996,nba roy,Damon Stoudamire,22,TOR,76.0,76.0,113.0,0.673,True,14657,2911
2212,1996,smoy,Toni Kukoč,27,CHI,45.0,45.0,113.0,0.398,True,15049,2829
2221,1995,dpoy,Dikembe Mutombo,28,DEN,45.0,45.0,105.0,0.429,True,14209,2648
2230,1995,mip,Dana Barros,27,PHI,50.0,50.0,105.0,0.476,True,14182,2493
2246,1995,nba mvp,David Robinson,29,SAS,73.0,901.0,1050.0,0.858,True,14193,2494
2261,1995,nba roy,Grant Hill,22,DET,43.0,43.0,105.0,0.41,True,14259,2863
2262,1995,nba roy,Jason Kidd,21,DAL,43.0,43.0,105.0,0.41,True,14304,2870
2267,1995,smoy,Anthony Mason,28,NYK,47.0,47.0,105.0,0.448,True,14109,2481
2276,1994,dpoy,Hakeem Olajuwon,31,HOU,23.0,23.0,101.0,0.228,True,13792,2176
2286,1994,mip,Don MacLean,24,WSB,55.0,55.0,101.0,0.545,True,13739,2711
2298,1994,nba mvp,Hakeem Olajuwon,31,HOU,66.0,889.0,1010.0,0.88,True,13792,2176
2315,1994,nba roy,Chris Webber,20,GSW,53.0,53.0,101.0,0.525,True,13682,2781
2318,1994,smoy,Dell Curry,29,CHH,46.0,46.0,101.0,0.455,True,13722,2299
2329,1993,dpoy,Hakeem Olajuwon,30,HOU,73.0,73.0,98.0,0.745,True,13326,2176
2337,1993,mip,Mahmoud Abdul-Rauf,23,DEN,25.0,25.0,98.0,0.255,True,13431,2608
2352,1993,nba mvp,Charles Barkley,29,PHO,59.0,835.0,980.0,0.852,True,13223,2162
2366,1993,nba roy,Shaquille O'Neal,20,ORL,96.0,96.0,98.0,0.98,True,13535,2751
2368,1993,smoy,Clifford Robinson,26,POR,89.0,89.0,98.0,0.908,True,13240,2492
2373,1992,dpoy,David Robinson,26,SAS,46.0,46.0,96.0,0.479,True,12802,2494
2381,1992,mip,Pervis Ellison,24,WSB,40.0,40.0,96.0,0.417,True,13021,2534
2393,1992,nba mvp,Michael Jordan,28,CHI,80.0,900.0,960.0,0.938,True,12990,2193
2410,1992,nba roy,Larry Johnson,22,CHH,90.5,90.5,96.0,0.943,True,12953,2666
2413,1992,smoy,Detlef Schrempf,29,IND,54.0,54.0,96.0,0.563,True,12817,2236
2418,1991,dpoy,Dennis Rodman,29,DET,51.0,51.0,96.0,0.531,True,12366,2301
2429,1991,mip,Scott Skiles,26,ORL,25.0,25.0,96.0,0.26,True,12625,2338
2443,1991,nba mvp,Michael Jordan,27,CHI,77.0,891.0,960.0,0.928,True,12543,2193
2463,1991,nba roy,Derrick Coleman,23,NJN,69.0,69.0,96.0,0.719,True,12371,2580
2467,1991,smoy,Detlef Schrempf,28,IND,38.0,38.0,96.0,0.396,True,12374,2236
