,player,team,lg,season,replaced
1591,Roger Brown,East,ABA,1968,False
1592,Darel Carrier,East,ABA,1968,False
1593,Louie Dampier,East,ABA,1968,False
1594,Mel Daniels,East,ABA,1968,False
1595,Donnie Freeman,East,ABA,1968,False
1596,Connie Hawkins,East,ABA,1968,False
1597,Les Hunter,East,ABA,1968,False
1598,Tony Jackson,East,ABA,1968,False
1599,Freddie Lewis,East,ABA,1968,False
1600,Randolph Mahaffey,East,ABA,1968,False
1601,Bob Netolicky,East,ABA,1968,False
1602,Chico Vaughn,East,ABA,1968,False
1603,John Beasley,West,ABA,1968,False
1604,Arthur Becker,West,ABA,1968,False
1605,Larry Brown,West,ABA,1968,False
1606,Larry Bunce,West,ABA,1968,False
1607,Cliff Hagan,West,ABA,1968,False
1608,Jimmy Jones,West,ABA,1968,False
1609,Larry Jones,West,ABA,1968,False
1610,Dewitt Menyard,West,ABA,1968,False
1611,Doug Moe,West,ABA,1968,False
1612,Red Robbins,West,ABA,1968,False
1613,Levern Tart,West,ABA,1968,False
1614,Ben Warley,West,ABA,1968,False
1615,Dick Barnett,East,NBA,1968,False
1616,Dave Bing,East,NBA,1968,False
1617,Wilt Chamberlain,East,NBA,1968,False
1618,Dave DeBusschere,East,NBA,1968,False
1619,Hal Greer,East,NBA,1968,False
1620,John Havlicek,East,NBA,1968,False
1621,Gus Johnson,East,NBA,1968,False
1622,Sam Jones,East,NBA,1968,False
1623,Jerry Lucas,East,NBA,1968,False
1624,Willis Reed,East,NBA,1968,False
1625,Oscar Robertson,East,NBA,1968,False
1626,Bill Russell,East,NBA,1968,False
1627,Walt Hazzard,West,NBA,1968,False
1628,Elgin Baylor,West,NBA,1968,False
1629,Zelmo Beaty,West,NBA,1968,False
1630,Bob Boozer,West,NBA,1968,False
1631,Bill Bridges,West,NBA,1968,False
1632,Archie Clark,West,NBA,1968,False
1633,Jim King,West,NBA,1968,False
1634,Don Kojis,West,NBA,1968,False
1635,Rudy LaRusso,West,NBA,1968,False
1636,Clyde Lee,West,NBA,1968,False
1637,Nate Thurmond,West,NBA,1968,True
1638,Jerry West,West,NBA,1968,False
1639,Lenny Wilkens,West,NBA,1968,False
1640,Wilt Chamberlain,East,NBA,1967,False
1641,Hal Greer,East,NBA,1967,False
1642,John Havlicek,East,NBA,1967,False
1643,Bailey Howell,East,NBA,1967,False
1644,Jerry Lucas,East,NBA,1967,False
1645,Don Ohl,East,NBA,1967,False
1646,Willis Reed,East,NBA,1967,False
1647,Oscar Robertson,East,NBA,1967,False
1648,Bill Russell,East,NBA,1967,False
1649,Chet Walker,East,NBA,1967,False
1650,Rick Barry,West,NBA,1967,False
1651,Elgin Baylor,West,NBA,1967,False
1652,Bill Bridges,West,NBA,1967,False
1653,Dave DeBusschere,West,NBA,1967,False
1654,Darrall Imhoff,West,NBA,1967,False
1655,Guy Rodgers,West,NBA,1967,False
1656,Jerry Sloan,West,NBA,1967,False
1657,Nate Thurmond,West,NBA,1967,False
1658,Jerry West,West,NBA,1967,False
1659,Lenny Wilkens,West,NBA,1967,False
1660,Wilt Chamberlain,East,NBA,1966,False
1661,Hal Greer,East,NBA,1966,False
1662,John Havlicek,East,NBA,1966,False
1663,Sam Jones,East,NBA,1966,False
1664,Jerry Lucas,East,NBA,1966,False
1665,Willis Reed,East,NBA,1966,False
1666,Oscar Robertson,East,NBA,1966,False
1667,Bill Russell,East,NBA,1966,False
1668,Adrian Smith,East,NBA,1966,False
1669,Chet Walker,East,NBA,1966,False
1670,Rick Barry,West,NBA,1966,False
1671,Zelmo Beaty,West,NBA,1966,False
1672,Dave DeBusschere,West,NBA,1966,False
1673,Bailey Howell,West,NBA,1966,False
1674,Rudy LaRusso,West,NBA,1966,False
1675,Eddie Miles,West,NBA,1966,False
1676,Don Ohl,West,NBA,1966,False
1677,Guy Rodgers,West,NBA,1966,False
1678,Nate Thurmond,West,NBA,1966,False
1679,Jerry West,West,NBA,1966,False
1680,Larry Costello,East,NBA,1965,False
1681,Wayne Embry,East,NBA,1965,False
1682,Johnny Green,East,NBA,1965,False
1683,Hal Greer,East,NBA,1965,False
1684,Tom Heinsohn,East,NBA,1965,True
1685,Luke Jackson,East,NBA,1965,False
1686,Sam Jones,East,NBA,1965,False
1687,Jerry Lucas,East,NBA,1965,False
1688,Willis Reed,East,NBA,1965,False
1689,Oscar Robertson,East,NBA,1965,False
1690,Bill Russell,East,NBA,1965,False
1691,Elgin Baylor,West,NBA,1965,False
1692,Walt Bellamy,West,NBA,1965,False
1693,Wilt Chamberlain,West,NBA,1965,False
1694,Terry Dischinger,West,NBA,1965,False
1695,Gus Johnson,West,NBA,1965,False
1696,Don Ohl,West,NBA,1965,False
1697,Bob Pettit,West,NBA,1965,False
1698,Nate Thurmond,West,NBA,1965,False
1699,Jerry West,West,NBA,1965,False
1700,Lenny Wilkens,West,NBA,1965,False
1701,Len Chappell,East,NBA,1964,False
1702,Wayne Embry,East,NBA,1964,False
1703,Tom Gola,East,NBA,1964,False
1704,Hal Greer,East,NBA,1964,False
1705,Tom Heinsohn,East,NBA,1964,False
1706,Sam Jones,East,NBA,1964,False
1707,Jerry Lucas,East,NBA,1964,False
1708,Oscar Robertson,East,NBA,1964,False
1709,Bill Russell,East,NBA,1964,False
1710,Chet Walker,East,NBA,1964,False
1711,Elgin Baylor,West,NBA,1964,False
1712,Walt Bellamy,West,NBA,1964,False
1713,Wilt Chamberlain,West,NBA,1964,False
1714,Terry Dischinger,West,NBA,1964,False
1715,Bailey Howell,West,NBA,1964,False
1716,Don Ohl,West,NBA,1964,False
1717,Bob Pettit,West,NBA,1964,False
1718,Guy Rodgers,West,NBA,1964,False
1719,Jerry West,West,NBA,1964,False
1720,Lenny Wilkens,West,NBA,1964,False
1721,Bob Cousy,East,NBA,1963,False
1722,Wayne Embry,East,NBA,1963,True
1723,Tom Gola,East,NBA,1963,False
1724,Johnny Green,East,NBA,1963,False
1725,Hal Greer,East,NBA,1963,False
1726,Richie Guerin,East,NBA,1963,False
1727,Tom Heinsohn,East,NBA,1963,False
1728,Red Kerr,East,NBA,1963,False
1729,Oscar Robertson,East,NBA,1963,False
1730,Bill Russell,East,NBA,1963,False
1731,Lee Shaffer,East,NBA,1963,False
1732,Jack Twyman,East,NBA,1963,False
1733,Elgin Baylor,West,NBA,1963,False
1734,Walt Bellamy,West,NBA,1963,False
1735,Wilt Chamberlain,West,NBA,1963,False
1736,Terry Dischinger,West,NBA,1963,False
1737,Bailey Howell,West,NBA,1963,False
1738,Rudy LaRusso,West,NBA,1963,False
1739,Tom Meschery,West,NBA,1963,False
1740,Don Ohl,West,NBA,1963,False
1741,Bob Pettit,West,NBA,1963,False
1742,Guy Rodgers,West,NBA,1963,False
1743,Jerry West,West,NBA,1963,False
1744,Lenny Wilkens,West,NBA,1963,False
1745,Paul Arizin,East,NBA,1962,False
1746,Wilt Chamberlain,East,NBA,1962,False
1747,Larry Costello,East,NBA,1962,True
1748,Bob Cousy,East,NBA,1962,False
1749,Tom Gola,East,NBA,1962,True
1750,Johnny Green,East,NBA,1962,False
1751,Hal Greer,East,NBA,1962,False
1752,Richie Guerin,East,NBA,1962,False
1753,Tom Heinsohn,East,NBA,1962,False
1754,Sam Jones,East,NBA,1962,False
1755,Willie Naulls,East,NBA,1962,False
1756,Bill Russell,East,NBA,1962,False
1757,Dolph Schayes,East,NBA,1962,False
1758,Elgin Baylor,West,NBA,1962,False
1759,Walt Bellamy,West,NBA,1962,False
1760,Wayne Embry,West,NBA,1962,False
1761,Cliff Hagan,West,NBA,1962,False
1762,Bailey Howell,West,NBA,1962,False
1763,Rudy LaRusso,West,NBA,1962,True
1764,Bob Pettit,West,NBA,1962,False
1765,Oscar Robertson,West,NBA,1962,False
1766,Frank Selvy,West,NBA,1962,False
1767,Gene Shue,West,NBA,1962,False
1768,Jack Twyman,West,NBA,1962,False
1769,Jerry West,West,NBA,1962,False
1770,Paul Arizin,East,NBA,1961,False
1771,Wilt Chamberlain,East,NBA,1961,False
1772,Larry Costello,East,NBA,1961,False
1773,Bob Cousy,East,NBA,1961,False
1774,Tom Gola,East,NBA,1961,False
1775,Hal Greer,East,NBA,1961,False
1776,Richie Guerin,East,NBA,1961,False
1777,Tom Heinsohn,East,NBA,1961,False
1778,Willie Naulls,East,NBA,1961,False
1779,Bill Russell,East,NBA,1961,False
1780,Dolph Schayes,East,NBA,1961,False
1781,Elgin Baylor,West,NBA,1961,False
1782,Walter Dukes,West,NBA,1961,False
1783,Wayne Embry,West,NBA,1961,False
1784,Cliff Hagan,West,NBA,1961,False
1785,Bailey Howell,West,NBA,1961,False
1786,Hot Rod Hundley,West,NBA,1961,False
1787,Clyde Lovellette,West,NBA,1961,False
1788,Bob Pettit,West,NBA,1961,False
1789,Oscar Robertson,West,NBA,1961,False
1790,Gene Shue,West,NBA,1961,False
1791,Jerry West,West,NBA,1961,False
1792,Paul Arizin,East,NBA,1960,True
1793,Wilt Chamberlain,East,NBA,1960,False
1794,Larry Costello,East,NBA,1960,False
1795,Bob Cousy,East,NBA,1960,False
1796,Tom Gola,East,NBA,1960,False
1797,Richie Guerin,East,NBA,1960,False
1798,Willie Naulls,East,NBA,1960,False
1799,Bill Russell,East,NBA,1960,False
1800,Dolph Schayes,East,NBA,1960,False
1801,Bill Sharman,East,NBA,1960,False
1802,George Yardley,East,NBA,1960,False
1803,Elgin Baylor,West,NBA,1960,False
1804,Walter Dukes,West,NBA,1960,False
1805,Dick Garmaker,West,NBA,1960,False
1806,Cliff Hagan,West,NBA,1960,False
1807,Hot Rod Hundley,West,NBA,1960,False
1808,Clyde Lovellette,West,NBA,1960,False
1809,Chuck Noble,West,NBA,1960,False
1810,Bob Pettit,West,NBA,1960,False
1811,Gene Shue,West,NBA,1960,False
1812,Jack Twyman,West,NBA,1960,False
1813,Paul Arizin,East,NBA,1959,False
1814,Larry Costello,East,NBA,1959,False
1815,Bob Cousy,East,NBA,1959,False
1816,Richie Guerin,East,NBA,1959,False
1817,Red Kerr,East,NBA,1959,False
1818,Bill Russell,East,NBA,1959,False
1819,Woody Sauldsberry,East,NBA,1959,False
1820,Dolph Schayes,East,NBA,1959,False
1821,Kenny Sears,East,NBA,1959,False
1822,Bill Sharman,East,NBA,1959,False
1823,Elgin Baylor,West,NBA,1959,False
1824,Larry Foust,West,NBA,1959,False
1825,Dick Garmaker,West,NBA,1959,False
1826,Cliff Hagan,West,NBA,1959,False
1827,Slater Martin,West,NBA,1959,False
1828,Dick McGuire,West,NBA,1959,False
1829,Bob Pettit,West,NBA,1959,False
1830,Gene Shue,West,NBA,1959,False
1831,Jack Twyman,West,NBA,1959,False
1832,George Yardley,West,NBA,1959,False
1833,Paul Arizin,East,NBA,1958,False
1834,Larry Costello,East,NBA,1958,False
1835,Bob Cousy,East,NBA,1958,False
1836,Richie Guerin,East,NBA,1958,False
1837,Neil Johnston,East,NBA,1958,False
1838,Willie Naulls,East,NBA,1958,False
1839,Bill Russell,East,NBA,1958,False
1840,Dolph Schayes,East,NBA,1958,False
1841,Kenny Sears,East,NBA,1958,False
1842,Bill Sharman,East,NBA,1958,False
1843,Larry Foust,West,NBA,1958,False
1844,Dick Garmaker,West,NBA,1958,False
1845,Cliff Hagan,West,NBA,1958,True
1846,Slater Martin,West,NBA,1958,False
1847,Dick McGuire,West,NBA,1958,False
1848,Bob Pettit,West,NBA,1958,False
1849,Gene Shue,West,NBA,1958,False
1850,Maurice Stokes,West,NBA,1958,False
1851,Jack Twyman,West,NBA,1958,False
1852,George Yardley,West,NBA,1958,False
1853,Paul Arizin,East,NBA,1957,False
1854,Carl Braun,East,NBA,1957,False
1855,Nat Clifton,East,NBA,1957,False
1856,Bob Cousy,East,NBA,1957,False
1857,Harry Gallatin,East,NBA,1957,False
1858,Jack George,East,NBA,1957,False
1859,Tom Heinsohn,East,NBA,1957,False
1860,Neil Johnston,East,NBA,1957,False
1861,Dolph Schayes,East,NBA,1957,False
1862,Bill Sharman,East,NBA,1957,False
1863,Dick Garmaker,West,NBA,1957,False
1864,Mel Hutchins,West,NBA,1957,False
1865,Clyde Lovellette,West,NBA,1957,True
1866,Ed Macauley,West,NBA,1957,False
1867,Slater Martin,West,NBA,1957,False
1868,Vern Mikkelsen,West,NBA,1957,False
1869,Bob Pettit,West,NBA,1957,False
1870,Richie Regan,West,NBA,1957,False
1871,Maurice Stokes,West,NBA,1957,False
1872,Jack Twyman,West,NBA,1957,False
1873,George Yardley,West,NBA,1957,False
1874,Paul Arizin,East,NBA,1956,False
1875,Carl Braun,East,NBA,1956,True
1876,Bob Cousy,East,NBA,1956,False
1877,Harry Gallatin,East,NBA,1956,False
1878,Jack George,East,NBA,1956,False
1879,Neil Johnston,East,NBA,1956,False
1880,Red Kerr,East,NBA,1956,False
1881,Ed Macauley,East,NBA,1956,False
1882,Dick McGuire,East,NBA,1956,False
1883,Dolph Schayes,East,NBA,1956,False
1884,Bill Sharman,East,NBA,1956,False
1885,Larry Foust,West,NBA,1956,False
1886,Bob Harrison,West,NBA,1956,False
1887,Mel Hutchins,West,NBA,1956,False
1888,Clyde Lovellette,West,NBA,1956,False
1889,Slater Martin,West,NBA,1956,False
1890,Vern Mikkelsen,West,NBA,1956,False
1891,Bob Pettit,West,NBA,1956,False
1892,Maurice Stokes,West,NBA,1956,False
1893,Bobby Wanzer,West,NBA,1956,False
1894,George Yardley,West,NBA,1956,False
1895,Paul Arizin,East,NBA,1955,False
1896,Carl Braun,East,NBA,1955,False
1897,Bob Cousy,East,NBA,1955,False
1898,Harry Gallatin,East,NBA,1955,False
1899,Neil Johnston,East,NBA,1955,False
1900,Ed Macauley,East,NBA,1955,False
1901,Dick McGuire,East,NBA,1955,False
1902,Dolph Schayes,East,NBA,1955,False
1903,Paul Seymour,East,NBA,1955,False
1904,Bill Sharman,East,NBA,1955,False
1905,Jack Coleman,West,NBA,1955,False
1906,Larry Foust,West,NBA,1955,False
1907,Slater Martin,West,NBA,1955,False
1908,Vern Mikkelsen,West,NBA,1955,False
1909,Bob Pettit,West,NBA,1955,False
1910,Andy Phillip,West,NBA,1955,False
1911,Jim Pollard,West,NBA,1955,False
1912,Arnie Risen,West,NBA,1955,True
1913,Frank Selvy,West,NBA,1955,False
1914,Bobby Wanzer,West,NBA,1955,False
1915,George Yardley,West,NBA,1955,False
1916,Carl Braun,East,NBA,1954,False
1917,Bob Cousy,East,NBA,1954,False
1918,Ray Felix,East,NBA,1954,False
1919,Harry Gallatin,East,NBA,1954,False
1920,Neil Johnston,East,NBA,1954,False
1921,Ed Macauley,East,NBA,1954,False
1922,Dick McGuire,East,NBA,1954,False
1923,Dolph Schayes,East,NBA,1954,False
1924,Paul Seymour,East,NBA,1954,False
1925,Bill Sharman,East,NBA,1954,False
1926,Bob Davies,West,NBA,1954,False
1927,Larry Foust,West,NBA,1954,False
1928,Mel Hutchins,West,NBA,1954,False
1929,Slater Martin,West,NBA,1954,False
1930,George Mikan,West,NBA,1954,False
1931,Jack Molinas,West,NBA,1954,True
1932,Andy Phillip,West,NBA,1954,False
1933,Jim Pollard,West,NBA,1954,False
1934,Arnie Risen,West,NBA,1954,False
1935,Don Sunderlage,West,NBA,1954,False
1936,Bobby Wanzer,West,NBA,1954,False
1937,Don Barksdale,East,NBA,1953,False
1938,Carl Braun,East,NBA,1953,False
1939,Bob Cousy,East,NBA,1953,False
1940,Bill Gabor,East,NBA,1953,False
1941,Harry Gallatin,East,NBA,1953,False
1942,Neil Johnston,East,NBA,1953,False
1943,Ed Macauley,East,NBA,1953,False
1944,Dolph Schayes,East,NBA,1953,False
1945,Fred Scolari,East,NBA,1953,True
1946,Paul Seymour,East,NBA,1953,False
1947,Bill Sharman,East,NBA,1953,False
1948,Leo Barnhorst,West,NBA,1953,False
1949,Bob Davies,West,NBA,1953,False
1950,Larry Foust,West,NBA,1953,False
1951,Mel Hutchins,West,NBA,1953,False
1952,Slater Martin,West,NBA,1953,False
1953,George Mikan,West,NBA,1953,False
1954,Vern Mikkelsen,West,NBA,1953,False
1955,Andy Phillip,West,NBA,1953,False
1956,Arnie Risen,West,NBA,1953,False
1957,Bobby Wanzer,West,NBA,1953,False
1958,Paul Arizin,East,NBA,1952,False
1959,Bob Cousy,East,NBA,1952,False
1960,Joe Fulks,East,NBA,1952,False
1961,Harry Gallatin,East,NBA,1952,False
1962,Ed Macauley,East,NBA,1952,False
1963,Dick McGuire,East,NBA,1952,False
1964,Andy Phillip,East,NBA,1952,False
1965,Red Rocha,East,NBA,1952,False
1966,Dolph Schayes,East,NBA,1952,True
1967,Fred Scolari,East,NBA,1952,False
1968,Max Zaslofsky,East,NBA,1952,False
1969,Leo Barnhorst,West,NBA,1952,False
1970,Frankie Brian,West,NBA,1952,False
1971,Bob Davies,West,NBA,1952,False
1972,Dike Eddleman,West,NBA,1952,False
1973,Larry Foust,West,NBA,1952,True
1974,George Mikan,West,NBA,1952,False
1975,Vern Mikkelsen,West,NBA,1952,False
1976,Jim Pollard,West,NBA,1952,False
1977,Arnie Risen,West,NBA,1952,False
1978,Paul Walther,West,NBA,1952,False
1979,Bobby Wanzer,West,NBA,1952,False
1980,Paul Arizin,East,NBA,1951,False
1981,Vince Boryla,East,NBA,1951,False
1982,Bob Cousy,East,NBA,1951,False
1983,Joe Fulks,East,NBA,1951,False
1984,Harry Gallatin,East,NBA,1951,False
1985,Ed Macauley,East,NBA,1951,False
1986,Dick McGuire,East,NBA,1951,False
1987,Andy Phillip,East,NBA,1951,False
1988,Red Rocha,East,NBA,1951,False
1989,Dolph Schayes,East,NBA,1951,False
1990,Ralph Beard,West,NBA,1951,False
1991,Frankie Brian,West,NBA,1951,False
1992,Bob Davies,West,NBA,1951,False
1993,Dike Eddleman,West,NBA,1951,False
1994,Larry Foust,West,NBA,1951,False
1995,Alex Groza,West,NBA,1951,False
1996,George Mikan,West,NBA,1951,False
1997,Vern Mikkelsen,West,NBA,1951,False
1998,Jim Pollard,West,NBA,1951,False
1999,Fred Schaus,West,NBA,1951,False
